,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
4704,14 inches,1920x1080,1.8 GHz Intel Core i7,64 GB,4000 GB SSD + HDD 5400 rpm,Intel UHD Graphics 620,Intel,Integrated,,,Dell,I5482,Windows 10 Pro,3.8 pounds,12.9 x 9.2 x 0.8 inches,12.9 x 9.2 x 0.8 inches,Intel,4,,Solid State,5400 RPM,,,"October 17, 2019","$1,589.00"
4705,15.6 inches,FHD ( 1920 x 1080 ) IPS Touchscreen,1.3 GHz Intel Core i7,8 GB DDR,16 GB Hybrid,Integrated Intel Iris Plus Graphics,Intel,,,8.5 hours,HP,HP Pavilion 15 laptop,Windows 10 Home,4.25 pounds,9.7 x 14.2 x 0.7 inches,9.66 x 14.23 x 0.7 inches,Intel,4,,Solid State,,,3 Lithium ion batteries required.,"November 25, 2019",$779.00
4706,,,1.6 GHz Intel Core M-5Y10 Processor,12 GB,1 TB,Intel Graphics,,,,,HP,HP laptop,Windows 10,,,,Intel,4,,Solid State,,,,"November 21, 2019",$769.00
4707,15.6 inches,1920 x 1080,2.8 GHz Intel Core i7,16 GB,2 TB SSD,NVIDIA GeForce GTX 1060,nvidia,Dedicated,,,Acer,acer 15.6,Windows 10,6 pounds,15.3 x 10.5 x 1.1 inches,15.3 x 10.5 x 1.1 inches,Intel,4,256 GB,Serial ATA,,,,"July 11, 2017","$1,092.00"
4708,11.6 inches,1920 x 1080,1.84 GHz,4 GB DDR3,32 GB,Intel,,Integrated,,6 hours,Azpen,Intel Cherry Trail,Windows 10,3.6 pounds,,,Intel,4,32 GB,,,,1 A batteries required. (included),"March 6, 2018",
4709,13.3 inches,1920 x 1080,2 GHz,4 GB DDR3 SDRAM,16 GB SSD,Intel Graphics Integrated,,,,,Samsung,Chromebook 2,Chrome OS,3.1 pounds,12.7 x 0.7 x 8.8 inches,12.7 x 0.7 x 8.8 inches,samsung,8,16 GB,,,,,"August 26, 2016",$119.99
4710,15.6 inches,,3 GHz Intel Core i7,8 GB DDR3 SDRAM,1 TB mechanical_hard_drive,,intel,,,,ASUS,,Windows 10,4.61 pounds,15 x 10 x 1 inches,15 x 10 x 1 inches,Intel,2,,,5400 RPM,,,"May 1, 2016",
4711,15.6 inches,1920 x 1080 pixels,3.9 GHz Intel Core i5,8 GB DDR4,256 GB Hybrid Drive,Intel UHD Graphics 630,Intel,Integrated,,,ASUS,VivoBook S15 S530,Windows 10 Home,3.97 pounds,14.2 x 9.6 x 0.7 inches,14.2 x 9.6 x 0.7 inches,Intel,4,256,Solid State,10000 RPM,,1 Lithium ion batteries required. (included),"April 16, 2019",$499.66
4712,13.3 inches,1920x1080,2.5 GHz,4 GB DDR3,64 GB emmc,Intel HD Graphics 505,intel,,,,Acer,SF113-31-P5CK,Windows 10,2.87 pounds,12.6 x 8.9 x 0.6 inches,12.6 x 8.9 x 0.6 inches,Intel,4,64 GB,,,,1 Lithium Polymer batteries required. (included),"June 27, 2018",$297.11
4713,15.6 inches,1366x768,3.1 GHz AMD A Series,16 GB,512 GB flash_memory_solid_state,AMD Radeon R5,amd,integrated,,,Lenovo,Ideapad,Windows 10,2 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,AMD,2,512 GB,Solid State,,,,"April 4, 2019",$398.44
