,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
76,15.6 inches,1920 x 1080 pixels,2.3 GHz Core i5 Family,8 GB DDR4,256 GB Flash Memory Solid State,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,2,,ASUS,TUF Gaming,Windows 10 Home,5.07 pounds,15.1 x 10.3 x 1 inches,15.12 x 10.31 x 0.98 inches,Intel,4,256.00,Solid State,10000 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"December 2, 2018",
77,15.6 inches,1366 x 768 HD Resolution,2.6 GHz Core i5 4310M,4 GB,512 GB HDD 5400 rpm,Intel HD Graphics 4400,,,,,Dell,Dell Latitude,Windows 10,5.18 pounds,9.9 x 14.9 x 1.3 inches,9.9 x 14.9 x 1.3 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"August 11, 2018",$221.00
78,15.6 inches,1366 x 768,3.1 GHz AMD A Series,16 GB,1 TB flash_memory_solid_state,AMD Radeon R5,amd,,,5 hours,Lenovo,Ideapad,Windows 10,,,,AMD,2,,Serial ATA,,,,"October 4, 2019",$486.56
79,15.6 inches,1366x768,3.9 GHz Celeron 3865U,4 GB,1 TB HDD 5400 rpm,Intel HD Graphics,,Integrated,,,Dell,Inspiron,Windows 10,6.5 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,2,,Solid State,5400 RPM,,1 Lithium ion batteries required. (included),"June 14, 2019",$328.13
80,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,12 GB SDRAM,256 GB SSD,Intel,Intel,Integrated,,12 hours,HP,HP 15-inch Touchscreen 2-in-1 Laptop,Windows 10 S,3.75 pounds,14.1 x 0.7 x 9.5 inches,14.1 x 0.71 x 9.53 inches,Intel,4,256 GB,Solid State,,,1 Lithium Polymer batteries required. (included),"October 5, 2019",
81,15.6 inches,1920 x 1080,2.4 GHz Intel Core i5,8 GB SO-DIMM,512 GB Flash Memory Solid State,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,4,,MSI,GF63 THIN 9SCX-615,Windows 10,7.6 pounds,14.1 x 10 x 0.8 inches,14.13 x 9.99 x 0.85 inches,Intel,4,512,Solid State,1,No Optical Drive,,"June 28, 2019",$729.00
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,11.6 inches,HD (1366 x 768 ) Widescreen LED,1.1 GHz Celeron N,4 GB DDR,64 GB SSD,Integrated Intel UHD Graphics 600,Intel,,,8 hours,Lenovo,lenovo 130s-11igm,Windows 10 S,3.5 pounds,7.9 x 11.3 x 0.7 inches,7.9 x 11.3 x 0.7 inches,Intel,2,,Solid State,,,1 Lithium Polymer batteries required. (included),"August 18, 2019",$190.00
85,14 inches,1920x1080,2.4 GHz Intel Core i5,16 GB DDR4,512 GB SSD,Intel HD 520,intel,integrated,,,Oemgenuine,ThinkPad T470,Windows 10,3.6 pounds,13.3 x 0.8 x 9.2 inches,13.3 x 0.8 x 9.2 inches,Intel,2,,,,,,"December 1, 2018",$699.95
86,14 inches,1920 x 1080 pixels,3.4 GHz Core M Family,8 GB DDR3L,64 GB Flash Memory Solid State,Intel HD Graphics 615,Intel,Integrated,3,,ASUS,Asus Chromebook Flip C434,Chrome OS,3.3 pounds,12.6 x 8 x 0.6 inches,12.6 x 8 x 0.6 inches,Intel,2,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 22, 2019",$549.99
87,14 inches,1920 x 1080 pixels,2.6 GHz Ryzen 3 3200U,8 GB DDR4,Flash Memory Solid State,AMD Radeon Vega 3,AMD,Integrated,2,8 hours,Lenovo,Flex 14,Windows 10,3.52 pounds,12.9 x 9 x 0.7 inches,12.91 x 9.02 x 0.7 inches,AMD,1,,Solid State,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"September 17, 2019",$489.99
88,14 inches,1920 x 1080 pixels,1.8 GHz Core i7-860,16 GB DDR4,512 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,2,,LG,LG gram,Windows 10 Home,4.41 pounds,14.3 x 9.9 x 0.7 inches,14.3 x 9.9 x 0.7 inches,Intel,1,16,Solid State,2400 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"January 25, 2019",
89,10.1 inches,800x1280 pixels,1.44 GHz Atom Z8300,4 GB DDR3,Flash Memory Solid State,,,Integrated,1,,Bean Information Technology,,Windows 10 Home,2.5 pounds,10.1 x 6.7 x 0.7 inches,10.05 x 6.74 x 0.68 inches,Intel,4,64.0,,,No Optical Drive,1 Lithium ion batteries required. (included),"September 6, 2018",$219.99
90,14 inches,1366x768,2.9 GHz Core i7-3520M,16 GB SO-DIMM DDR3,240 GB SSD,Intel HD Graphics 3000,Intel,Integrated,,,Dell,E6430,Windows 10,4 pounds,13.2 x 1.2 x 8.8 inches,13.2 x 1.2 x 8.8 inches,Intel,2,240 GB,Serial ATA,,,1 Lithium ion batteries required.,"April 1, 2017",$315.99
91,15.6 inches,1920x1080,1.6 GHz Intel Core i5,8 GB SO-DIMM DDR4,1 TB HDD 5400 rpm,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP Pavilion 15T 15-Inch Commercial Laptop,Windows 10,4.21 pounds,9.9 x 14.9 x 0.8 inches,9.93 x 14.88 x 0.78 inches,Intel,4,,Serial ATA,5400.00,,1 Lithium Polymer batteries required. (included),"November 26, 2018",$560.00
92,15.6 inches,1366 x 768,3.7 GHz AMD A8,16 GB,1 TB SSD,AMD Radeon R5,AMD,,,5 hours,Lenovo,B07WTXJYW5,Windows 10,5 pounds,14.8 x 10 x 4.6 inches,14.8 x 10 x 4.63 inches,AMD,2,1 TB,Solid State,,,,"August 21, 2019",$442.75
93,15.6 inches,,,8 GB,256 GB flash_memory_solid_state,AMD Radeon Vega 8,amd,,,5 hours,Lenovo,Lenovo Ideapad,Windows 10 Home,4.41 pounds,14.1 x 9.6 x 0.8 inches,14.1 x 9.6 x 0.8 inches,AMD,4,256 GB,,,,1 Lithium Polymer batteries required.,"February 2, 2019",$399.00
94,14 inches,1366x768,3 GHz Intel Core i5,8 GB SO-DIMM DDR3,256 GB SSD,Intel HD Graphics 5500,Intel,Dedicated,,,Dell,Dell Latitude E7450,Windows 10,3.64 pounds,9.1 x 13.3 x 0.8 inches,9.12 x 13.3 x 0.8 inches,Intel,4,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"October 12, 2017",$288.97
95,15.6 inches,1920 x 1080 pixels,3.6 GHz AMD R Series,8 GB DDR4,256 GB Flash Memory Solid State,AMD Radeon RX Vega 8,AMD,Integrated,2,,ASUS,VivoBook F512DA,Windows 10 Home,3.5 pounds,14.1 x 9.1 x 0.8 inches,14.1 x 9.1 x 0.75 inches,AMD,4,256.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"May 20, 2019",$539.99
96,14 inches,1366 x 768,2.3 GHz Intel Core i3,8 GB,256 GB flash_memory_solid_state,Intel HD Graphics 620,intel,Integrated,,,Dell,Vostro,Windows 10,,,,Intel,2,256 GB,Serial ATA,,,,"March 29, 2019",$429.00
97,14 inches,1366 x 768,2.6 GHz Celeron N,4 GB,32 GB SSD,Intel,,Integrated,,,HP,HP 14inch Stream,Windows 10,4.65 pounds,13.3 x 8.9 x 0.7 inches,13.3 x 8.9 x 0.7 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"September 7, 2019",$158.99
98,15.6 inches,,2.6 GHz AMD A Series,4 GB,500 GB mechanical_hard_drive,,amd,,,5 hours,Lenovo,Lenovo 130,Windows 10,2.65 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,AMD,2,,Solid State,5400 RPM,,1 Lithium Metal batteries required.,"November 7, 2018",$250.00
99,12.5 inches,1366x768,2.6 GHz Intel Core i5,16 GB SO-DIMM DDR4,256 GB SSD,Integrated Intel HD Graphics,Intel,Integrated,,,Dell,Dell Latitude 12 7000 Series Commerical Notebook,Windows 10 Pro,2.6 pounds,8.2 x 12 x 0.7 inches,8.2 x 12 x 0.7 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"March 1, 2019",$619.99
100,15.6 inches,1920 x 1080,2.1 GHz AMD R Series,8 GB SDRAM,256 GB SSD,NVIDIA GeForce GTX 1050 3GB GDDR5,NVIDIA,dedicated,,6 hours,HP,Pavilion,Windows 10,4.96 pounds,14.2 x 10.1 x 0.9 inches,14.17 x 10.12 x 0.93 inches,AMD,4,,Solid State,,,1 Lithium Polymer batteries required. (included),"November 7, 2019",$529.00
101,15.6 inches,1366 x 768,1.6 GHz Core i5 2.3 GHz,8 GB DDR4,128 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,1,10.25 hours,HP,15-DA0002DX,Windows 10 Home,3.9 pounds,17.5 x 12 x 2.8 inches,17.5 x 12 x 2.8 inches,Intel,1,128,eSATA,2400,No Optical Drive,1 Lithium Polymer batteries required. (included),"December 20, 2018",$519.99
102,15.6 inches,1920 x 1080 pixels,4.6 GHz Intel Core i7,16 GB DDR4,256 GB Flash Memory Solid State,Intel HD Graphics 620,intel,Integrated,3,10 hours,Acer,SF515-51T-73TY,Windows 10 Home,2.2 pounds,14.1 x 9.1 x 0.6 inches,14.09 x 9.06 x 0.63 inches,Intel,4,512.00,Solid State,0.1 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"January 21, 2019",
103,12.5 inches,1920 x 1080 pixels,1.1 GHz core_m,4 GB LPDDR3,64 GB Embedded MultiMediaCard,Intel HD Graphics,Intel,Integrated,,10 hours,ASUS,C302CA-DH54,Chrome OS,2.65 pounds,12 x 8.3 x 0.5 inches,12 x 8.3 x 0.5 inches,Intel,2,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"August 15, 2017",$449.99
104,15.6 inches,1920 x 1080,2.7 GHz AMD A Series,32 GB SDRAM,256 GB SSD,AMD Radeon R7,amd,Dedicated,,6 hours,ASUS,VivoBook,Windows 10,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.76 inches,AMD,4,256 GB,Solid State,,,1 Lithium ion batteries required.,"August 10, 2019",$557.00
105,15.6 inches,,3.1 GHz Intel Core i5,8 GB,256 GB flash_memory_solid_state,Intel HD,intel,Integrated,,,Dell,Dell Inspiron,Windows 10,3 pounds,,,Intel,1,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"December 11, 2018",$582.90
106,17.3 inches,1366x768,2 GHz Intel Core Solo,8 GB DDR4,1 TB HDD 5400 rpm,Intel HD Graphics 520,AMD,integrated,,9 hours,HP,hp 15,Windows 10,5.6 pounds,15.3 x 10.9 x 1 inches,15.34 x 10.94 x 0.97 inches,Intel,2,,Serial ATA,5400 RPM,,1 Lithium Metal batteries required. (included),"September 9, 2017",$445.00
107,15.6 inches,1920 x 1080,4 GHz Intel Core i7,12 GB,256 GB flash_memory_solid_state,NVIDIA GeForce GTX 1050 Ti,nvidia,Dedicated,,,Acer,AN515-53,Windows 10,7.7 pounds,15.4 x 10.5 x 1.1 inches,15.4 x 10.5 x 1.1 inches,Intel,4,256 GB,Solid State,,,1 Lithium Polymer batteries required. (included),"August 6, 2019",$719.86
108,14 inches,,2.6 GHz Intel Core i5,8 GB DDR3,128 GB SSD,Intel HD Graphics 4000,intel,Integrated,,,Dell,Latitude E6430,Windows 10,4.6 pounds,13.9 x 9.5 x 1.3 inches,13.9 x 9.5 x 1.3 inches,Intel,2,128 GB,Solid State,,,1 Lithium ion batteries required.,"October 25, 2016",$198.89
109,13.3 inches,1920 x 1080,3.9 GHz Intel Core i5,8 GB,256 GB flash_memory_solid_state,Intel,intel,Integrated,,,HP,HP,Windows 10,2.87 pounds,8.3 x 12.2 x 0.6 inches,8.3 x 12.2 x 0.6 inches,Intel,4,256 GB,Solid State,,,1 Lithium Polymer batteries required. (included),"March 25, 2019",$611.00
110,15.6 inches,1920 x 1080,2.1 GHz Ryzen 5 2600H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,,,HP,850012153474,Windows 10,8 pounds,18 x 12 x 5 inches,18 x 12 x 5 inches,AMD,4,,Solid State,,,1 Lithium ion batteries required.,"November 5, 2019",$600.48
111,11.6 inches,1366 x 768,1.1 GHz Celeron M 585,4 GB SDRAM,32 GB eMMC,Intel UHD Graphics 600,intel,,,11 hours,HP,HP Stream,Windows 10 S,2.57 pounds,11.8 x 8.1 x 0.7 inches,11.8 x 8.1 x 0.7 inches,Intel,1,32 GB,Solid State,,,1 CR5 batteries required. (included),"December 4, 2018",$156.00
112,15.6 inches,,2.5 GHz Core i5 Family,8 GB DDR3,256 Flash Memory Solid State,Intel Integrated Graphics,Intel,Integrated,2,,Dell,Dell Inspiron 15,Windows 10,5.51 pounds,19.4 x 13.2 x 2.8 inches,19.4 x 13.2 x 2.8 inches,Intel,1,1.0,Solid State,7200 RPM,No Optical Drive,1 Lithium Metal batteries required. (included),"November 8, 2018",$428.55
113,15.6 inches,1920 x 1080,3.9 GHz Intel Core i5,24 GB,1 TB SSD,Intel UHD Graphics 620,Intel,Integrated,,11 hours,Lenovo,B07WGWRD4H,Windows 10,6.35 pounds,14.2 x 9.8 x 4.2 inches,14.2 x 9.8 x 4.17 inches,Intel,4,,Solid State,,,,"August 15, 2019",$868.20
114,15.6 inches,,2.7 GHz Pentium,4 GB,1 TB,Intel,intel,Integrated,,,HP,HPlaptops,Windows 10,5.45 pounds,,,Intel,1,1 TB,Serial ATA,5400 RPM,,1 Lithium Polymer batteries required. (included),"December 3, 2018",$308.98
115,15.6 inches,,,8 GB,mechanical_hard_drive,Intel UHD Graphics 620,intel,Integrated,,9 hours,HP,HP Pavilion,Windows 10 Home,4.23 pounds,14.2 x 9.5 x 0.7 inches,14.24 x 9.51 x 0.7 inches,Intel,4,,,5400 RPM,,1 Lithium Polymer batteries required.,"January 23, 2019",$674.99
116,10.1 inches,1024×600,1.2 GHz A33 ARM Cortexâ¢ A7 Quad Core,1 GB DDR3,8 GB,NAD,,,,3 hours,Goldengulf,CLP290,Android,1.76 pounds,11 x 7.5 x 1 inches,11.02 x 7.48 x 1 inches,Allwinner,4,,Ethernet 100Base-T,,,1 Lithium ion batteries required. (included),"August 1, 2019",$138.86
117,14 inches,1920 x 1080 pixels,3.4 GHz Core M Family,4 GB DDR3L,64 GB Hybrid Drive,Intel HD Graphics 615,Intel,Integrated,3,,ASUS,ASUS Chromebook Flip C434,Chrome OS,3.3 pounds,12.6 x 8 x 0.6 inches,12.6 x 8 x 0.6 inches,Intel,2,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"March 25, 2019",$545.60
118,11.6 inches,1366x768 pixels,1.44 GHz Atom Z8300,4 GB DDR3,Flash Memory Solid State,,,Integrated,1,,Bean Information Technology,,Windows 10 Home,3.33 pounds,11.5 x 7.2 x 0.7 inches,11.49 x 7.2 x 0.68 inches,Intel,4,64.0,,,No Optical Drive,1 Lithium ion batteries required. (included),"January 2, 2018",$259.99
119,10.1 inches,800x1280 pixels,1.44 GHz Atom Z8300,4 GB DDR3,Flash Memory Solid State,,,Integrated,1,,Bean Information Technology,,Windows 10 Home,2.5 pounds,10.1 x 6.7 x 0.7 inches,10.05 x 6.74 x 0.68 inches,Intel,4,64.0,,,No Optical Drive,1 Lithium ion batteries required. (included),"September 27, 2017",$219.99
120,15.6 inches,1920 x 1080,2.6 GHz Intel Core i7,32 GB SDRAM,2 TB HDD 5400 rpm,NVIDIA GeForce GTX 1650,NVIDIA,,,5.5 hours,HP,Pavilion,Windows 10,4.92 pounds,14.2 x 10.1 x 0.9 inches,14.17 x 10.08 x 0.92 inches,Intel,6,,Serial ATA,,,1 Lithium ion batteries required. (included),"November 23, 2019","$1,119.00"
121,15.6 inches,1920x1080,1.6 GHz Intel Core i5,12 GB SDRAM,1 TB HDD 5400 rpm,Intel HD Graphics 620,Intel,Integrated,,,Dell,Dell Inspiron 5000,Windows 10 Home,4.8 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.15 x 0.89 inches,Intel,4,,Serial ATA,5400 RPM,,1 Lithium Polymer batteries required. (included),"December 2, 2018",$627.90
122,15.6 inches,7680x4320@60Hz,3.7 GHz Ryzen 5 2600H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,,4 hours,ASUS,B07VYBD3RY,Windows 10,7.61 pounds,14.2 x 10.3 x 1.1 inches,14.2 x 10.3 x 1.1 inches,AMD,4,256 GB,Solid State,,,1 Lithium ion batteries required.,"July 1, 2019",
123,11.6 inches,1366 x 768,1.4 GHz Celeron 2955U,4 GB DDR3,16 GB SSD,Intel HD Graphics,intel,Integrated,,,Dell,DELL Chromebook 11 CB1C13,Chrome OS,2.9 pounds,,,Intel,2,4 GB,ATA,,,1 Lithium Metal batteries required.,"June 12, 2019",$77.99
124,15.6 inches,1920 x 1080,1.8 GHz Core i7 8550U,32 GB SDRAM,512 GB Hybrid,Intel UHD Graphics 620,Intel,Integrated,,7 hours,HP,Pavilion,Windows 10,4.25 pounds,12.8 x 9.2 x 0.7 inches,12.8 x 9.2 x 0.7 inches,Intel,4,512 GB,Solid State,,,1 Lithium ion batteries required.,"July 29, 2019","$1,010.81"
125,14 inches,1366 x 768,2.2 GHz AMD A4,4 GB DDR4,64 GB Embedded MultiMediaCard,,AMD,Integrated,,,HP,HP Stream Laptop 14-ds0100nr,,4.4 pounds,8.9 x 13.3 x 0.7 inches,8.9 x 13.3 x 0.7 inches,AMD,2,64.00,Serial ATA,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 2, 2019",$269.99
126,15.6 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB,256 GB flash_memory_solid_state,Intel UHD Graphics 620,intel,Integrated,,10 hours,Dell,Vostro,Windows 10,6.07 pounds,,,Intel,4,256 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"July 3, 2019",$590.00
127,17.3 inches,1600x900,1.6 GHz Intel Core i5,8 GB DDR4,256 GB,Intel UHD Graphics 620,,Integrated,,,HP,HP,Windows 10 Home,6.68 pounds,16.3 x 10.7 x 1 inches,16.33 x 10.72 x 0.96 inches,Intel,4,,Solid State,,,,"November 14, 2019",$605.00
128,15.6 inches,1366 x 768,3.7 GHz AMD A Series,4 GB,1 TB mechanical_hard_drive,AMD Radeon R5,amd,,,,HP,HP-15-db0031nr,Windows 10,5.95 pounds,,,AMD,2,,,5400 RPM,,1 Lithium ion batteries required. (included),"April 23, 2019",$299.95
129,15.6 inches,1920 x 1080 pixels,4.1 GHz Intel Core i7,16 GB DDR4,256 GB Flash Memory Solid State,NVIDIA GeForce GTX 1060,NVIDIA,Dedicated,2,7 hours,Acer,Acer Predator Series,Windows 10 Home,5.51 pounds,10.5 x 15.3 x 1.1 inches,10.47 x 15.35 x 1.05 inches,Intel,6,256.0,Solid State,,No Optical Drive,1 A batteries required. (included),"June 11, 2018",$936.91
130,15.6 inches,1366 x 768,1.8 GHz Core i7 Family,12 GB DDR3,256 GB flash_memory_solid_state,Intel UHD Graphics 620,intel,Integrated,2,,HP,HP 15 Laptop-,Windows 10 Home,4.19 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.7 x 0.9 inches,Intel,4,256.00,Solid State,5400 RPM,No Optical Drive,1 Lithium ion batteries required.,"March 25, 2019",$686.88
131,17 inches,2560 x 1600,4.6 GHz Core i7-8650U,1 TB DDR4,1 TB Flash Memory Solid State,,Intel,Integrated,3,,LG,LG gram,Windows 10 Home,2.95 pounds,15 x 10.5 x 0.7 inches,15 x 10.5 x 0.7 inches,Intel,4,16.00,,6000 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"September 10, 2019","$1,399.99"
132,11.6 inches,1366 x 768,1.44 GHz Intel Atom,4 GB DDR3,64 GB Flash Memory Solid State,,Intel,Integrated,1,,Bean Information Technology,"Core 11.6""",Windows 10 Home,4.53 pounds,,,Intel,1,64.00,eSATA,7200,N/A,1 Lithium ion batteries required. (included),"May 15, 2019",$219.99
133,15.6 inches,1920 x 1080,2.4 GHz Intel Core i5,20 GB SO-DIMM,512 GB SSD,NVIDIA GeForce GTX 1650,NVIDIA,dedicated,,,ASUS,850011105993,Windows 10,4.85 pounds,14.2 x 10.3 x 1.1 inches,14.2 x 10.3 x 1.1 inches,Intel,4,,Solid State,,,,"November 9, 2019",$766.99
134,14 inches,1366 x 768,1.1 GHz Celeron N,4 GB,32 GB SSD,Intel® UHD Graphics 600,intel,,,14 hours,HP,14-cb164wm,Windows 10,3.17 pounds,20 x 12 x 3 inches,20 x 12 x 3 inches,Intel,4,,Solid State,,,1 Lithium Metal batteries required. (included),"September 16, 2019",$189.99
135,14 inches,1366 x 768,1.1 GHz Celeron N,4 GB,32 GB SSD,Intel® UHD Graphics 600,intel,,,14 hours,HP,14-cb164wm,Windows 10,3.17 pounds,20 x 12 x 3 inches,20 x 12 x 3 inches,Intel,4,,Solid State,,,1 Lithium Metal batteries required. (included),"September 16, 2019",$189.99
136,13.3 inches,,2.7 GHz Pentium,4 GB DD4 SDRAM,80 GB Flash Memory Solid State,Intel UHD Graphics 605,Intel,Integrated,1,,Samsung,Notebook Flash,Windows 10,4.35 pounds,12.7 x 8.6 x 0.7 inches,12.69 x 8.64 x 0.67 inches,Intel,1,64,SCSI,7200,No Optical Drive,1 Lithium ion batteries required. (included),"May 30, 2019",$329.99
137,17.3 inches,1600x900,2 GHz Ryzen 5 2600H,12 GB,1 TB mechanical_hard_drive,AMD Radeon Vega 8,amd,,,,HP,HP 17.3 Ryzen 5,Windows 10,6 pounds,,,AMD,4,,ATA,5400 RPM,,1 Lithium ion batteries required. (included),"May 27, 2019",$529.99
138,15.6 inches,1366 x 768,3.1 GHz AMD A Series,8 GB SO-DIMM,128 GB SSD,AMD Radeon R5 Series,AMD,,,7 hours,Lenovo,IdeaPad 130,Windows 10,13 pounds,10 x 14.8 x 0.9 inches,10 x 14.8 x 0.9 inches,AMD,2,128 GB,Solid State,,,,"May 10, 2019",$299.99
139,13.3 inches,1920*1080,1.3 GHz Intel Celeron D,6 GB,64 GB emmc,Intel HD Graphics 500,Intel,Integrated,,,jumper,EZbook X3,Windows 10,4.95 pounds,12.4 x 8.2 x 0.7 inches,12.4 x 8.19 x 0.72 inches,Intel,4,128 GB,,,,1 Lithium Polymer batteries required.,"February 26, 2019",$209.00
140,17.3 inches,HD+ ( 1600 x 900 ),2.5 GHz Intel Core i5,12 GB DDR,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10 Home in S mode 64 bit,5.4 pounds,10.7 x 16.3 x 1 inches,10.7 x 16.3 x 1 inches,Intel,2,,Solid State,,,,"November 23, 2018",$561.04
141,15.6 inches,1920 x 1080,3.9 GHz AMD R Series,8 GB,128 GB flash_memory_solid_state,AMD,AMD,,,,HP,HP,Windows 10,4.5 pounds,14.3 x 9.7 x 0.7 inches,14.3 x 9.7 x 0.7 inches,Intel,2,128 GB,Solid State,,,1 Lithium ion batteries required. (included),"August 4, 2019",$564.09
142,15.6 inches,1366x768,2.2 GHz Intel Core i3,8 GB DDR,128 GB SSD,Intel UHD Graphics 620,,Integrated,,,Lenovo,Lenovo IdeaPad,Windows 10,4.12 pounds,14.1 x 9.6 x 0.8 inches,14.1 x 9.6 x 0.8 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"November 25, 2019",$379.99
143,14 inches,1366x768,2.4 GHz Intel Core i5,8 GB,256 GB SSD,Intel HD Graphics 520,intel,Integrated,,,Dell,Latitude,Windows 10 Pro,4 pounds,13.2 x 9.1 x 0.8 inches,13.2 x 9.1 x 0.8 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"October 9, 2019",$279.99
144,15.6 inches,1366 x 768,1.8 GHz Intel Core i7,20 GB,256 GB SSD,Intel UHD Graphics 620,Intel,,,,Lenovo,Lenovo,Windows 10 Home,4.83 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,,Serial ATA,,,,"September 20, 2019",$696.90
145,10.1 inches,1024×600,1.2 GHz A33 ARM Cortexâ¢ A7 Quad Core,1 GB DDR3,8 GB,NAD,,,,3 hours,Goldengulf,CLP290,Android,1.76 pounds,11 x 7.5 x 1 inches,11.02 x 7.48 x 1 inches,Allwinner,4,,Ethernet 100Base-T,,,1 Lithium ion batteries required. (included),"August 1, 2019",$138.86
146,13.5 inches,3000×2000,2.2 GHz Core M 6Y30,8 GB DDR3,512 GB flash_memory_solid_state,Intel HD Graphics 515,,Integrated,,,ALLDOCUBE,i35s(KBook),Windows 10 Home,3.53 pounds,12.3 x 9.4 x 0.6 inches,12.3 x 9.37 x 0.61 inches,Intel,2,512 GB,USB,,,1 Lithium ion batteries required. (included),"September 22, 2019",$479.99
147,15.6 inches,1920 x 1080 pixels,1.6 GHz Core i5 8250U,8 GB DDR4,256 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,3,5 hours,LG,LG gram,Windows 10 Home,2.4 pounds,14.1 x 9 x 0.7 inches,14.1 x 9 x 0.7 inches,Intel,4,8.00,Solid State,7200 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"February 1, 2019",$946.99
148,11.6 inches,1366x768 pixels,1.44 GHz Atom Z8300,4 GB DDR3,Flash Memory Solid State,,,Integrated,1,,Bean Information Technology,,Windows 10 Home,3.33 pounds,11.5 x 7.2 x 0.7 inches,11.49 x 7.2 x 0.68 inches,Intel,4,64.0,,,No Optical Drive,1 Lithium ion batteries required. (included),"September 27, 2017",$259.99
149,15.6 inches,,8032,8 GB,flash_memory_solid_state,Intel HD Graphics 620,intel,Integrated,,,Toshiba,Tecra A50-E,,4.85 pounds,,,,2,256 GB,,,,1 Lithium Polymer batteries required.,"April 25, 2018",$761.99
150,11.6 inches,1920 x 1080,1.44 GHz Intel Atom,4 GB DDR3,64 GB emmc,Intel HD Graphics,,Integrated,,7 hours,XIDU,PhilBook,Windows 10,2.2 pounds,10.9 x 7.4 x 0.6 inches,10.9 x 7.4 x 0.6 inches,Intel,4,64 GB,USB 3.0,,,1 Lithium ion batteries required. (included),"March 13, 2019",
151,15.6 inches,1920x1080 pixels,4 GHz Intel Core i7,8 GB DDR4,128 GB Flash Memory Solid State,Intel Integrated Graphics,VivoBook,Integrated,2,,ASUS,VivoBook 15 S510,Windows 10,3.7 pounds,14.2 x 9.6 x 0.7 inches,14.2 x 9.6 x 0.7 inches,Intel,4,128,Solid State,5400 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"December 4, 2017",$799.99
152,15.6 inches,1366 x 768,2.3 GHz Pentium,8 GB,256 GB SSD,Intel HD Graphics 610,Intel,,,,Lenovo,IdeaPad,Windows 10,4.08 pounds,14.3 x 9.9 x 0.8 inches,14.3 x 9.9 x 0.78 inches,Intel,2,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"August 9, 2019",$311.95
153,14 inches,1366 x 768,2.2 GHz AMD A4,4 GB SDRAM,64 GB Embedded MultiMediaCard,,AMD,Integrated,,,HP,HP Stream Laptop 14-ds0110nr,Windows 10 S,4.45 pounds,13.3 x 8.9 x 0.7 inches,13.3 x 8.9 x 0.7 inches,AMD,2,64.00,Serial ATA,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 2, 2019",$269.99
